Chapter, Chapter Description,2011,2012,2013(Jan-Mar)
25,"Salt, sulphur; earths and stone; plastering materials, lirne and cement",1928990274,1893146805,428211743
26,"Ores, slag and ash",1711848971,3436568742,69059665
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",5065038868,818445671,97381070
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare earth metals, of radioactive elements or isotopes",1494621824,1553950249,332187966
29,Organic chemicals,204528346,153683988,6993737
30,Pharmaceutical products,543040466,472567072.3,126198152
31,Fertilisers,61679427,87909513,15766760
32,Tanning or dyeing extracts; tannin and their derivatives; dyes pigments and other colouring matter; paints and varnishes; putty and other mastic; inks,432767810,307106382.8,116031234
33,"Essential oils and resinoid; perfumery, cosmetic or toilet preparations",3107573635,3048803540,687387016
34,"Soap, organic surface active agents, washing and lubricating prep., artificial or prepared waxes, polishing or scouring prep., candles and similar, modelling pastes, dental waxes and prep. with basis of plaster",557677449,447506248,131823399
35,Albuminoidal substances; modified starches; glues; enzymes,504105558,583051988,160493991
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2741892,5494494,629964
37,Photographic and cinematographic goods,7051964,20212279,1033769
38,Miscellaneous chemical products,8751972561,10363015865,2266254457
39,Plastics and articles thereof,7397291096,7569922455,1803256088
40,Rubber and articles thereof,1.20779E+11,1.22496E+11,33174580850
41,Raw hides and skins (other then furskins) and leather,97872910,57879898,13161118
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worn gut)",2164053471,2301090773,457065145
43,Furskins and artificial fur; manufactures thereof,66759,13000,17230
44,Wood and articles of wood; wood charcoal,5593717201,6683673711,1480208449
45,Cork and articles of cork,205591,120046,
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",112193318,195001982,95663416
47,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard,3249882631,3037035396,727118336
48,"Paper or paperboard; articles of paper pulp, of paper or paperboard",3512412293,4176188827,1223245047
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",26190304064,70316572758,22482162481
50,Silk,38302168,22253025,30246
51,"Wool, fine and coarse animal hair, horsehair yarn and woven fabric",6499127,97544515,651401
52,Cotton,3696197492,4751040336,1262702536
53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,13299014866,14314427816,2960772445
54,Man-made filaments,772169561,1026949537,194444110.9
55,Man-made staple fibres,3585331823,3958742073,1134660231
56,"Wadding felts and non wovens; special yarn; twine, cordage, ropes and cables and articles thereof",2737775670,3154856813,684859960
57,Carpets and other textile floor covering,732297421,666931137,145157648
